name,description,log2FoldChange,pvalue,padj
ENSG00000232583.1,GPR143P,-1.0305473593658,0.556415822296,1
ENSG00000232586.1,KIAA1614-AS1,-0.648175953502152,0.0887958861239,0.188362291409
ENSG00000232587.1,EEF1A1P3,1.78610493365,0.661605739623,1
ENSG00000232593.7,KANTR,1.01339286539,0.0000726378672040329,0.000757250672361
ENSG00000232597.5,AC013727.1,1.03133056779,0.811653913727,1
ENSG00000232599.1,AL008707.1,2.69038621623,0.00000710417370795155,0.000115436236685
ENSG00000232600.3,TONSL-AS1,-0.463540547746728,0.331538978575,0.490848704004
ENSG00000232608.1,TIMM9P2,-1.56466162209621,0.510942609276,1
ENSG00000232611.1,AL683813.1,0.351680267232,0.195124676938,0.335120386815
ENSG00000232612.1,RPL31P35,1.03133056779,0.811653913727,1
ENSG00000232613.6,LINC02576,0.954631304192,0.51818743925,1
ENSG00000232615.4,AC026412.2,-0.244727501753498,0.84154985407,0.90373283283
ENSG00000232618.1,AL355304.1,0.852029241358,0.401428022901,0.560932455493
ENSG00000232623.1,AP000266.1,0.946907667328,0.468672380029,0.622316441583
ENSG00000232624.7,LINC01517,-1.52057639241684,0.331300299524,1
ENSG00000232626.3,AC099336.1,1.34855528918,0.630721233936,1
ENSG00000232627.1,AC021876.1,1.76884674173,0.682420500423,1
ENSG00000232628.5,AC092809.2,-1.09834009661463,0.799350887485,1
ENSG00000232630.1,PRPS1P2,0.504646279867,0.149620406616,0.277093764407
ENSG00000232633.4,AC079465.1,-0.658009493766876,0.445059944327,0.601041246984
ENSG00000232636.2,AL360267.1,-0.95778099537803,0.683229388516,1
ENSG00000232638.1,AL390294.1,-1.09834009661463,0.799350887485,1
ENSG00000232640.1,AL354892.2,-0.754566441328303,0.0209525061012,0.0632230388967
ENSG00000232642.1,AC008073.2,0.682735818251,0.193240065162,0.332799867089
ENSG00000232645.5,LINC01431,1.31813450664,0.0757213915733,0.166928652176
ENSG00000232646.1,AL731563.1,-1.22011869377663,0.777190586679,1
ENSG00000232648.3,AC107214.1,0.385091416032,0.497150089563,0.647282375313
ENSG00000232653.8,GOLGA8N,-1.22540973571371,0.0844945242715,0.181336769741
ENSG00000232656.7,IDI2-AS1,0.849428577264,0.0719802053822,0.160729707806
ENSG00000232662.2,LDHBP1,1.03133056779,0.811653913727,1
ENSG00000232667.10,AC004862.1,1.03133056779,0.811653913727,1
ENSG00000232671.5,AL391069.2,-0.540167109158527,0.172489544576,0.307056849919
ENSG00000232675.7,AL121830.1,2.65340106564,1.90397962431349e-8,8.69054310812951e-7
ENSG00000232677.6,LINC00665,0.0141757384784,0.937080674468,0.964182373686
ENSG00000232678.2,SPTLC1P4,1.03133056779,0.811653913727,1
ENSG00000232679.1,LINC01705,1.03133056779,0.811653913727,1
ENSG00000232680.2,AC002511.1,-1.09834009661463,0.799350887485,1
ENSG00000232682.2,AL592430.1,1.38446859785,7.14318584301159e-10,6.01927881405826e-8
ENSG00000232684.1,ATP11A-AS1,-0.497555213676098,0.906192645071,1
ENSG00000232688.1,LINC01628,1.72275019718,0.682260984844,1
ENSG00000232692.1,AP001596.1,-0.760191714585122,0.453945766581,0.60874321897
ENSG00000232693.2,AC012370.1,3.0304450348,0.248758704822,1
ENSG00000232696.1,AC017006.2,1.03133056779,0.811653913727,1
ENSG00000232699.3,BDH2P1,-0.497555213676098,0.906192645071,1
ENSG00000232702.3,AL158050.1,-1.91492403812358,0.227272176415,1
ENSG00000232706.3,NUTM2HP,-3.30378758712321,0.0197395773147,0.0602532170282
ENSG00000232709.1,MARK2P9,0.889158261699,0.173444665284,0.308235345071
ENSG00000232710.1,AC254562.2,-0.0116220555068916,0.978701697845,0.988013557682
ENSG00000232712.6,KIZ-AS1,0.408528902235,0.357578208485,0.51773811429
ENSG00000232713.2,AC010733.1,-0.879465599541223,0.281831990519,0.437224574422
ENSG00000232718.1,GAPDHP48,2.22696666462,0.552364538254,1
ENSG00000232721.2,AC239800.2,-0.411449959981906,0.497431852668,0.647456846304
ENSG00000232722.3,MROH4P,1.03133056779,0.811653913727,1
ENSG00000232724.1,TRIM80P,-0.620965837858435,0.825805301682,1
ENSG00000232725.1,U52111.1,0.971277002222,0.0859692055181,0.183748610618
